family,alignment,format_condition,task,pair_id,layer,relative_depth,c_v,c_a,c_v_raw,c_a_raw,c_v_rand,c_a_rand,c_v_perp,c_a_perp,c_v_net_rand,c_a_net_rand,c_v_net_perp,c_a_net_perp,c_v_zero,c_a_zero
llama,base,plain,reader,pair_0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,base,plain,reader,pair_0,1,0.3333333333333333,0.11307329728956718,0.0454272655071459,0.11307329728956718,0.0454272655071459,0.06148678111041557,0.01523630475943874,0.060240559778059866,0.01399008342708304,0.05158651617915161,0.030190960747707163,0.05283273751150731,0.03143718208006287,0.3148319453749756,0.29365215292779207
llama,base,plain,reader,pair_0,2,0.6666666666666666,0.4770306040261811,0.5470840555458024,0.4770306040261811,0.5470840555458024,0.20378115340066838,0.14831308971159562,0.18290966372378412,0.12744160003471136,0.2732494506255127,0.3987709658342068,0.294120940302397,0.41964245551109103,1.3341389178066911,1.208086873223141
llama,base,plain,reader,pair_0,3,1.0,1.3779440985239715,1.1864451298197434,1.3779440985239715,1.1864451298197434,0.3555711048741341,0.3074503268631417,0.3079423985330124,0.25982162052202007,1.0223729936498374,0.8789948029566017,1.070001699990959,0.9266235092977233,1.870751462696793,1.6785846072561459
llama,base,plain,reader,pair_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,base,plain,reader,pair_1,1,0.3333333333333333,0.01781266188006386,0.0,0.01781266188006386,0.0,0.013856463405663905,0.0,0.012610242073308202,0.0,0.003956198474399954,0.0,0.005202419806755657,0.0,0.2195713099654723,0.19839151751828873
llama,base,plain,reader,pair_1,2,0.6666666666666666,0.49878542038312523,0.4472285782312936,0.49878542038312523,0.4472285782312936,0.21465856157914046,0.09838535105434121,0.1937870719022562,0.07751386137745694,0.2841268588039848,0.3488432271769524,0.30499834848086904,0.3697147168538366,1.3558937341636352,1.229841689580085
llama,base,plain,reader,pair_1,3,1.0,1.5088827438064067,1.1539946420951692,1.5088827438064067,1.1539946420951692,0.42104042751535176,0.29122508300085465,0.37341172117423005,0.24359637665973305,1.0878423162910549,0.8627695590943145,1.1354710226321767,0.9103982654354361,2.001690107979228,1.8095232525385812
llama,base,plain,reader,pair_2,0,0.0,0.12274773823428306,0.0,0.12274773823428306,0.0,0.06164574366291212,0.0,0.061600191103192085,0.0,0.06110199457137094,0.0,0.061147547131090975,0.0,0.13888778867662352,0.13725527444599153
llama,base,plain,reader,pair_2,1,0.3333333333333333,0.0,0.056930842101242926,0.0,0.056930842101242926,0.0,0.02098809305648725,0.0,0.01974187172413155,0.0,0.035942749044755674,0.0,0.03718897037711137,0.18685433595424233,0.16567454350705876
llama,base,plain,reader,pair_2,2,0.6666666666666666,0.2268144441990082,0.5671494675699214,0.2268144441990082,0.5671494675699214,0.07867307348708194,0.15834579572365506,0.057801583810197676,0.1374743060467708,0.14814137071192626,0.4088036718462663,0.16901286038881053,0.42967516152315055,1.0839227579795183,0.9578707133959681
llama,base,plain,reader,pair_2,3,1.0,1.5521916218088994,1.2332334956481221,1.5521916218088994,1.2332334956481221,0.44269486651659806,0.3308445097773311,0.39506616017547636,0.28321580343620945,1.1094967552923012,0.902388985870791,1.157125461633423,0.9500176922119127,2.044998985981721,1.8528321305410738
llama,base,plain,reader,pair_3,0,0.0,0.06056666340895941,0.0,0.06056666340895941,0.0,0.03055520625025029,0.0,0.030509653690530256,0.0,0.030011457158709117,0.0,0.030057009718429152,0.0,0.07670671385129986,0.07507419962066787
llama,base,plain,reader,pair_3,1,0.3333333333333333,0.1125914545512043,0.11583176173429233,0.1125914545512043,0.11583176173429233,0.06124585974123413,0.05043855287301195,0.059999638408878425,0.04919233154065625,0.05134559480997017,0.06539320886128037,0.05259181614232587,0.06663943019363608,0.3143501026366128,0.2931703101894292
llama,base,plain,reader,pair_3,2,0.6666666666666666,0.43482179962117423,0.501324897271541,0.43482179962117423,0.501324897271541,0.18267675119816495,0.1254335105744649,0.1618052615212807,0.10456202089758063,0.2521450484230093,0.37589138669707606,0.27301653809989357,0.39676287637396035,1.2919301134016843,1.165878068818134
llama,base,plain,reader,pair_3,3,1.0,1.399919840460776,1.0446703765476844,1.399919840460776,1.0446703765476844,0.3665589758425364,0.23656295022711216,0.3189302695014147,0.18893424388599053,1.0333608646182397,0.8081074263205722,1.0809895709593613,0.8557361326616938,1.8927272046335974,1.7005603491929504
llama,base,plain,reader,pair_4,0,0.0,0.0982834352896714,0.0,0.0982834352896714,0.0,0.04941359219060629,0.0,0.049368039630886255,0.0,0.04886984309906511,0.0,0.048915395658785145,0.0,0.11442348573201185,0.11279097150137987
llama,base,plain,reader,pair_4,1,0.3333333333333333,0.0,0.04305971755051028,0.0,0.04305971755051028,0.0,0.014052530781120929,0.0,0.012806309448765226,0.0,0.02900718676938935,0.0,0.030253408101745052,0.1821861368036505,0.16100634435646693
llama,base,plain,reader,pair_4,2,0.6666666666666666,0.4722026268240115,0.6418486511661672,0.4722026268240115,0.6418486511661672,0.20136716479958358,0.195695387521778,0.18049567512269932,0.17482389784489377,0.2708354620244279,0.4461532636443892,0.29170695170131217,0.4670247533212734,1.3293109406045216,1.2032588960209714
llama,base,plain,reader,pair_4,3,1.0,1.5083270923097947,1.1197672380990447,1.5083270923097947,1.1197672380990447,0.4207626017670458,0.2741113810027924,0.37313389542592407,0.2264826746616708,1.0875644905427488,0.8456558570962522,1.1351931968838707,0.8932845634373738,2.001134456482616,1.808967601041969
llama,base,plain,reader,pair_5,0,0.0,0.05843529649511076,0.0,0.05843529649511076,0.0,0.029489522793325968,0.0,0.029443970233605933,0.0,0.028945773701784795,0.0,0.02899132626150483,0.0,0.07457534693745121,0.07294283270681923
