stimulus_id,text,human_v,human_a,human_v_scaled,human_a_scaled,rec_ev,rec_ea,rec_gv,rec_ga,rec_gen_text,rec_p55,rec_entropy,post_ev,post_ea,post_gv,post_ga,post_gen_text,post_p55,post_entropy
emobank_defenders5_31_47,ALASKA EMERGENCY,2.0,3.57,-0.5,0.2849999999999999,5.1640254966123615,5.934844572355881,-5,7,"{
""valence"": -5,
""arousal"": 7
}

The negative valence",0.02586076726837861,3.6887918739000254,4.9987513647156785,6.0231339517952405,5,7,"{
""valence"": 5,
""arousal"": 7
}",0.025248646161277477,3.925487797025967
emobank_hotel-california_27718_27751,I was discouraged and frustrated.,2.2,3.6,-0.3999999999999999,0.3,2.460230765794013,4.185383690850625,-3,3,"{
""valence"": -3,
""arousal"": 3
}",0.00774856893423935,2.8899330284304274,2.3300320169212423,4.996312909863698,-3,5,"{
""valence"": -3,
""arousal"": 5
}",0.004219396608467459,2.929264986861035
emobank_112C-L013_653_757,"Kids like Tommie J., made a ward of the court because of repeated beatings by an alcoholic father;",2.29,3.29,-0.355,0.145,3.618865681069254,5.1494085723156315,-5,3,"{
""valence"": -5,
""arousal"": 3
}

The text is likely",0.012042659627779699,3.6759253717909686,3.941123878114433,5.1791609997309145,-5,3,"{
""valence"": -5,
""arousal"": 3
}",0.009128355143193509,3.852649359356498
emobank_NYTnewswire4_3733_3851,"Although he said the Gators will be excited to play the Hurricanes, ""I don't want to talk about that game,"" Zook said.",2.3,3.4,-0.3500000000000001,0.1999999999999999,3.1835590935445515,2.7039488181719116,-2,1,"{
""valence"": -2,
""arousal"": 1
}",0.002465878313158883,3.2702730396334525,3.0528073680842094,2.9477617836330783,-2,1,"{
""valence"": -2,
""arousal"": 1
}",0.0030272346884373503,3.3985181958335056
emobank_captured_moments_23307_23321,"""I am jealous.",2.25,3.5,-0.375,0.25,3.234496519924636,4.279673249859241,-3,2,"{
""valence"": -3,
""arousal"": 2
}",0.012744286815392865,3.360228905389433,3.1247658737937947,4.704663444455069,-3,3,"{
""valence"": -3,
""arousal"": 3
}",0.01559525904378196,3.362668944574005
emobank_A_defense_of_Michael_Moore_22762_22779,9) Gun homicides.,2.2,3.3,-0.3999999999999999,0.1499999999999999,3.712175397502269,5.52219928981097,-5,3,"{
""valence"": -5,
""arousal"": 3
}",0.01446071229021836,3.9443376922228266,3.8784849559356407,5.55094332292202,-5,3,"{
""valence"": -5,
""arousal"": 3
}",0.010337801253429868,4.061176492961007
emobank_NYTnewswire9_5696_5711,"""I said, `No.""'",2.2,3.5,-0.3999999999999999,0.25,3.6574121458088418,2.1880948744933693,-2,1,"{
""valence"": -2,
""arousal"": 1
}

The text is likely",0.0044769359407800715,3.302907437999528,3.419823485683483,2.436453444802615,-2,0,"{
""valence"": -2,
""arousal"": 0
}",0.007335009399733742,3.4394472402768095
emobank_hotel-california_3445_3575,"As much as Jesse had irritated me, I didn't like the picture my brain drew of him floating in his grave, body swollen and bloated.",2.2,3.4,-0.3999999999999999,0.1999999999999999,3.794499597717341,3.509706652133675,-3,2,"{
""valence"": -3,
""arousal"": 2
}",0.008579076130290329,3.6112594476410393,3.797111516410626,3.3697938663596636,-3,2,"{
""valence"": -3,
""arousal"": 2
}",0.007229552084243484,3.6650707320311002
emobank_Nathans_Bylichka_52685_52792,"On the floor was Dvorov’s head, separated from his body by several feet and a growing puddle of dark blood.",2.2,3.6,-0.3999999999999999,0.3,4.594214411306803,6.670906629204356,-8,7,"{
""valence"": -8,
""arousal"": 7
}",0.006304260955150358,3.8452819068873128,4.4177274269061995,6.726533722735177,-9,9,"{
""valence"": -9,
""arousal"": 9
}",0.004994891326349598,3.9376114304634355
emobank_Nathans_Bylichka_21342_21360,The thing frowned.,2.18,2.91,-0.4099999999999999,-0.0449999999999999,2.936338808954671,2.3827018963494155,-2,1,"{
""valence"": -2,
""arousal"": 1
}",0.0031135271609005425,3.101835955097243,2.934224981912877,2.726463179341213,-3,0,"{
""valence"": -3,
""arousal"": 0
}",0.008409824554793055,3.338820083826074
