model,alignment,task,dimension,n_pairs,n_direction_defined,direction_aligned_mean_diff,aligned_ci_low,aligned_ci_high,aligned_d_z,aligned_dz_ci_low,aligned_dz_ci_high,aligned_t_stat,aligned_p_value,raw_mean_diff,raw_ci_low,raw_ci_high,raw_d_z,raw_t_stat,raw_p_value,mean_diff,mean_diff_ci_low,mean_diff_ci_high,d_z,dz_ci_low,dz_ci_high,p_value,primary_p_value,p_fdr
gemma_base,base,w,V,192,192,1.5999999999999996,1.5999999999999996,1.5999999999999996,,,,7.0417636284532856e+16,0.0,-1.4802973661668753e-16,-0.23333333333333348,0.21666666666666645,-9.22773370337778e-17,-1.2786322890372824e-15,0.999999999999999,-1.4802973661668753e-16,-0.23333333333333348,0.21666666666666645,-9.22773370337778e-17,-0.1470248808704641,0.1363192306610599,0.999999999999999,0.0,
gemma_base,base,r,V,192,192,1.5999999999999996,1.5999999999999996,1.5999999999999996,,,,7.0417636284532856e+16,0.0,-1.4802973661668753e-16,-0.23333333333333348,0.21666666666666645,-9.22773370337778e-17,-1.2786322890372824e-15,0.999999999999999,-1.4802973661668753e-16,-0.23333333333333348,0.21666666666666645,-9.22773370337778e-17,-0.1470248808704641,0.1363192306610599,0.999999999999999,0.0,0.0
gemma_base,base,s,V,192,192,1.4400000000000004,1.4400000000000002,1.4400000000000002,,,,6.33758726560796e+16,0.0,2.590520390792032e-16,-0.20999999999999977,0.19500000000000028,1.7942815534345685e-16,2.486229450905827e-15,0.999999999999998,2.590520390792032e-16,-0.20999999999999977,0.19500000000000028,1.7942815534345685e-16,-0.1470248808704638,0.1363192306610602,0.999999999999998,0.0,0.0
gemma_base,base,w,A,192,192,1.5999999999999996,1.5999999999999996,1.5999999999999996,,,,1.4083527256906571e+17,0.0,1.1999999999999997,1.0499999999999998,1.3499999999999996,1.1309367166835007,15.670718827527615,3.9579021552409976e-36,1.1999999999999997,1.0499999999999998,1.3499999999999996,1.1309367166835007,0.8674632532343,1.5679016799423684,3.9579021552409976e-36,0.0,
gemma_base,base,r,A,192,192,1.5999999999999996,1.5999999999999996,1.5999999999999996,,,,1.4083527256906571e+17,0.0,1.1999999999999997,1.0499999999999998,1.3499999999999996,1.1309367166835007,15.670718827527615,3.9579021552409976e-36,1.1999999999999997,1.0499999999999998,1.3499999999999996,1.1309367166835007,0.8674632532343,1.5679016799423684,3.9579021552409976e-36,0.0,0.0
gemma_base,base,s,A,192,192,1.4400000000000006,1.4400000000000006,1.4400000000000006,,,,6.337587265607961e+16,0.0,1.0800000000000007,0.9450000000000006,1.2150000000000005,1.1309367166835016,15.67071882752763,3.9579021552405666e-36,1.0800000000000007,0.9450000000000006,1.2150000000000005,1.1309367166835016,0.8674632532343004,1.567901679942369,3.9579021552405666e-36,0.0,0.0
gemma_base,base,w,D,192,192,1.5999999999999996,1.5999999999999996,1.5999999999999996,,,,8.13112825291444e+16,0.0,0.39999999999999974,0.18333333333333313,0.6166666666666665,0.25752561900604054,3.5683796509527004,0.00045422102848911616,0.39999999999999974,0.18333333333333313,0.6166666666666665,0.25752561900604054,0.11504225944702626,0.41659683582885715,0.00045422102848911616,0.0,
gemma_base,base,r,D,192,192,1.5999999999999996,1.5999999999999996,1.5999999999999996,,,,8.13112825291444e+16,0.0,0.39999999999999974,0.18333333333333313,0.6166666666666665,0.25752561900604054,3.5683796509527004,0.00045422102848911616,0.39999999999999974,0.18333333333333313,0.6166666666666665,0.25752561900604054,0.11504225944702626,0.41659683582885715,0.00045422102848911616,0.0,
gemma_base,base,s,D,192,192,1.4400000000000004,1.4400000000000002,1.4400000000000004,,,,7.318015427623e+16,0.0,0.36000000000000026,0.16500000000000029,0.5550000000000003,0.2575256190060409,3.5683796509527053,0.00045422102848910754,0.36000000000000026,0.16500000000000029,0.5550000000000003,0.2575256190060409,0.11504225944702656,0.4165968358288574,0.00045422102848910754,0.0,
gemma_instruct,instruct,w,V,192,192,1.5999999999999996,1.5999999999999996,1.5999999999999996,,,,7.0417636284532856e+16,0.0,-1.4802973661668753e-16,-0.23333333333333348,0.21666666666666645,-9.22773370337778e-17,-1.2786322890372824e-15,0.999999999999999,-1.4802973661668753e-16,-0.23333333333333348,0.21666666666666645,-9.22773370337778e-17,-0.1470248808704641,0.1363192306610599,0.999999999999999,0.0,
