model,alignment,task,dimension,n_clinical,n_complex_neutral,mean_clinical_displacement,mean_complex_neutral_displacement,displacement_diff,displacement_cohen_d,displacement_t_stat,displacement_p_value,secondary_raw_mean_diff,secondary_raw_p_value,primary_p_value,p_fdr
gemma_base,base,w,V,192,48,0.4925339717807111,0.7374833399843489,-0.24494936820363777,-0.4769581386182609,-2.8160598958659984,0.006438151246112613,0.10129827074267173,0.4771967957792434,0.006438151246112613,
gemma_base,base,r,V,192,48,0.5839406099807972,0.7524004785892586,-0.1684598686084614,-0.29902535255975526,-1.7726016922646075,0.0809629431564869,0.1507593844337336,0.31956709622883467,0.0809629431564869,0.15240083417691652
gemma_base,base,s,V,192,48,0.5002272298323183,0.6655030149509656,-0.16527578511864738,-0.3321200874359475,-2.0921476932844425,0.039792225755575616,0.16510057030222214,0.20792514828587047,0.039792225755575616,0.08489008161189465
gemma_base,base,w,A,192,48,0.4705151088718324,0.4696482429657971,0.0008668659060352968,0.0021806854839482182,0.013307505965028298,0.9894204802753022,-0.1189159492482128,0.23850011970910545,0.9894204802753022,
gemma_base,base,r,A,192,48,0.5551349185187004,0.5227561739184082,0.03237874460029222,0.06445239792385173,0.3911822829291635,0.6968711687802109,-0.0263017809003947,0.8262769093010631,0.6968711687802109,0.7433292466988917
gemma_base,base,s,A,192,48,0.4676846317422207,0.5248756274185453,-0.05719099567632463,-0.11655595650142489,-0.668956354430321,0.5060484732254661,-0.16236610043500743,0.1666315622670439,0.5060484732254661,0.5997611534524042
gemma_base,base,w,D,192,48,0.4573075945087981,0.4042172070828723,0.05309038742592581,0.14239198784814872,0.935411765705363,0.35224121229375477,-0.07770527036429176,0.3772697627476421,0.35224121229375477,
gemma_base,base,r,D,192,48,0.519410772539321,0.4283429735539041,0.09106779898541689,0.20902125746470882,1.3433494913566504,0.18298164967827507,-0.017794838347549913,0.8580415166030115,0.18298164967827507,
gemma_base,base,s,D,192,48,0.4757079844330124,0.44917783900746694,0.026530145425545437,0.0685874135747667,0.44857348705388667,0.6549020052786625,-0.08216125045138956,0.3703287560819956,0.6549020052786625,
gemma_instruct,instruct,w,V,192,48,0.6142382510958796,0.7978962381150705,-0.1836579870191909,-0.32916875436623605,-1.9490976265059698,0.05559601480397056,0.5515939489396429,5.129936177496799e-05,0.05559601480397056,
gemma_instruct,instruct,r,V,192,48,0.6809304895833955,1.0163713194392174,-0.3354408298558219,-0.6694117660026612,-3.9028343194327246,0.0002340730614328334,0.9067749929922648,4.9856403201102036e-09,0.0002340730614328334,0.0008322597739834077
gemma_instruct,instruct,s,V,192,48,0.6681028144988529,0.6197595825108716,0.048343231987981294,0.08742713628391982,0.5620742983200894,0.5756455587075398,0.01603043738722132,0.9049098460762491,0.5756455587075398,0.6578806385229026
gemma_instruct,instruct,w,A,192,48,1.029755847750834,1.1094951648747715,-0.07973931712393756,-0.12988523573547284,-0.831871377625308,0.4079971383203417,-0.7470011087305668,0.00017981644642036366,0.4079971383203417,
gemma_instruct,instruct,r,A,192,48,0.7209579290051656,0.7747570384082301,-0.05379910940306443,-0.11370827343056898,-0.7106321915598119,0.4795497964394922,-0.25879563639244907,0.04059294498005582,0.4795497964394922,0.5997611534524042
gemma_instruct,instruct,s,A,192,48,1.029138044680365,1.0305122957461448,-0.001374251065779708,-0.0024405222711289193,-0.016806644587743825,0.9866251542995372,-0.9875606299714086,3.0686108346108334e-09,0.9866251542995372,0.9866251542995372
gemma_instruct,instruct,w,D,192,48,1.123077551401886,0.7633557537070151,0.3597217976948709,0.53998269119367,3.8250970420858166,0.00021976740009358654,-0.48884721594722524,0.003486965915993944,0.00021976740009358654,
gemma_instruct,instruct,r,D,192,48,0.7363620536664696,0.5407394547721261,0.1956225988943434,0.34671843041771144,2.575616512460959,0.011143216066435636,-0.10823516178114723,0.374692903118662,0.011143216066435636,
gemma_instruct,instruct,s,D,192,48,1.047923727522922,0.8063986043550679,0.24152512316785413,0.35909175719977177,2.625343193928295,0.009779083233000538,-0.6566527341647967,1.12030106900876e-05,0.009779083233000538,
llama_base,base,w,V,192,48,0.14806815066883136,0.311293433524282,-0.16322528285545065,-0.9217962039234904,-4.900089600288248,9.416398397134016e-06,-0.34810762350662605,2.2663988976896877e-12,9.416398397134016e-06,
llama_base,base,r,V,192,48,0.1399998506404274,0.276409400867706,-0.1364095502272786,-0.9067202870063567,-4.878613915753947,9.797438701502473e-06,-0.32755451985501205,4.927284931736007e-15,9.797438701502473e-06,3.918975480600989e-05
llama_base,base,s,V,192,48,0.16010275478627664,0.3879126188758589,-0.22780986408958223,-1.0708308226675276,-5.571437782770589,9.41875862988504e-07,-0.45000344099310263,1.5960471702695786e-14,9.41875862988504e-07,5.023337935938688e-06
llama_base,base,w,A,192,48,0.12934639271649936,0.29293161588168676,-0.1635852231651874,-1.3985874460813112,-7.816887376069998,1.253685093791819e-10,-0.3047279001950738,4.269885038585548e-22,1.253685093791819e-10,
llama_base,base,r,A,192,48,0.12542044223760923,0.27165143836813116,-0.14623099613052193,-1.3136209982114675,-7.545162572640376,2.6547993785190034e-10,-0.2780892039096372,3.6175684370919476e-22,2.6547993785190034e-10,2.1081792629104317e-09
llama_base,base,s,A,192,48,0.13578508388650026,0.29725456173902726,-0.161469477852527,-1.4211566469733055,-8.135617539737732,2.6713396461971005e-11,-0.2986947175621486,2.207845646643266e-23,2.6713396461971005e-11,2.8494289559435737e-10
llama_base,base,w,D,192,48,0.1288961581340783,0.3165046794015837,-0.18760852126750543,-1.5594862649169097,-8.665922424851718,5.224579758669875e-12,-0.31890625787519156,2.964753654688789e-22,5.224579758669875e-12,
llama_base,base,r,D,192,48,0.11546154327812004,0.30298504554980366,-0.18752350227168363,-1.6385289505180303,-8.981480137851003,1.9635808610402044e-12,-0.31538652826905267,1.7394834873486543e-22,1.9635808610402044e-12,
llama_base,base,s,D,192,48,0.1307945402950094,0.3197127217947488,-0.1889181814997394,-1.4884261854271175,-8.27813224450922,2.263476359880898e-11,-0.32621076740494903,3.964988149745502e-21,2.263476359880898e-11,
llama_instruct,instruct,w,V,192,48,0.24971986169202787,0.261063403662296,-0.011343541970268156,-0.07060639215926996,-0.4817965076268503,0.6310605613280583,-0.004020449517238234,0.9212476359587638,0.6310605613280583,
llama_instruct,instruct,r,V,192,48,0.26969753257851237,0.24860710318898924,0.02109042938952313,0.11465767252653108,0.770632213681025,0.44293317206235877,0.021509386835538713,0.6062306123369927,0.44293317206235877,0.5905775627498117
llama_instruct,instruct,s,V,192,48,0.323251635670695,0.32218088933291344,0.0010707463377815363,0.004980839366203262,0.031524209975859495,0.9749337952426028,0.09627104559186517,0.08739004516885995,0.9749337952426028,0.9866251542995372
llama_instruct,instruct,w,A,192,48,0.28317565594671223,0.3469187843355515,-0.06374312838883928,-0.22638229011941982,-1.3546048447893895,0.18012045397235643,-0.20567594093229458,0.00017785340447417822,0.18012045397235643,
llama_instruct,instruct,r,A,192,48,0.6133236744872574,0.2554364183329101,0.35788725615434736,0.9263430925290175,7.23627477331745,1.9560713793977356e-11,0.3968174029649698,9.773890179531903e-11,1.9560713793977356e-11,2.8494289559435737e-10
llama_instruct,instruct,s,A,192,48,0.30616088224240134,0.510607051583165,-0.20444616934076365,-0.6416493442244152,-3.656341058726339,0.000539773665552611,-0.43925586604128597,2.6824610001201803e-10,0.000539773665552611,0.0015702506634257775
llama_instruct,instruct,w,D,192,48,0.5046793237308846,0.5888512130348592,-0.08417188930397457,-0.2538485901672352,-1.6272736011490356,0.10766447467706639,0.19247989262514453,0.0013985474587787333,0.10766447467706639,
llama_instruct,instruct,r,D,192,48,0.6347324780460725,0.41904536870707604,0.21568710933899643,0.5932753601772582,3.9942259605420447,0.00013154840214135038,-0.1268916330748322,0.06123029656930925,0.00013154840214135038,
llama_instruct,instruct,s,D,192,48,0.6270487190005619,0.6426701529263442,-0.015621433925782302,-0.03920921223519461,-0.24250389119219748,0.8090793598982994,0.12824542705445907,0.08178517309361787,0.8090793598982994,
olmo_base,base,w,V,192,48,0.5391375428652946,0.3985089787865071,0.1406285640787875,0.3823884324580009,2.4964382292046796,0.014522232919639687,-0.6128196281572129,1.7444493425113542e-11,0.014522232919639687,
olmo_base,base,r,V,192,48,0.5508128988374765,0.4514429802654991,0.09936991857197741,0.26225228419493235,1.685793191834676,0.09575548908516666,-0.658763483153098,8.82331888574095e-12,0.09575548908516666,0.17023198059585185
olmo_base,base,s,V,192,48,0.34614401833519653,0.24540843005351218,0.10073558828168436,0.37064014809084245,2.7429019576213918,0.006977599209001235,-0.11914901433087177,0.02957137053690221,0.006977599209001235,0.015948798192002824
olmo_base,base,w,A,192,48,0.2774147163777552,0.27028907839981536,0.007125637977939858,0.03428304757309165,0.21248413494585885,0.8323268045788889,-0.37366328139008553,3.604834624506388e-12,0.8323268045788889,
olmo_base,base,r,A,192,48,0.28179615049998574,0.3195773863226393,-0.03778123582265358,-0.15746104234753702,-0.9139674507958633,0.36425288254410976,-0.4208649448374828,1.3504636085639604e-11,0.36425288254410976,0.5067866191918049
olmo_base,base,s,A,192,48,0.19355187464114695,0.15170680337838177,0.04184507126276518,0.27954094136999136,1.8492087564677895,0.06785343394770936,-0.18089956013175978,1.937146578201241e-07,0.06785343394770936,0.13570686789541872
olmo_base,base,w,D,192,48,0.28536396431268235,0.34996337405793776,-0.06459940974525541,-0.26806734522389464,-1.6033952900444104,0.11358325183876597,-0.460528723862935,3.394228892054086e-14,0.11358325183876597,
olmo_base,base,r,D,192,48,0.3075049183746289,0.41130696947843237,-0.10380205110380347,-0.3925196660650742,-2.2813610568571723,0.025942061684561746,-0.5146758170135963,7.546793301355883e-14,0.025942061684561746,
olmo_base,base,s,D,192,48,0.20050999883152906,0.1858627378833494,0.014647260948179669,0.09178212542368352,0.6394195559384397,0.5239908945909709,-0.21168852744040478,1.3719322263521344e-08,0.5239908945909709,
olmo_instruct,instruct,w,V,192,48,0.13210284938536423,0.2353486776189396,-0.10324582823357537,-0.7664974911693524,-4.491402237644864,3.046399831307354e-05,-0.22217867580381068,1.1606410755598883e-10,3.046399831307354e-05,
olmo_instruct,instruct,r,V,192,48,0.11626052611249472,0.23259129371981876,-0.11633076760732404,-0.9325238033400283,-5.280548389955513,1.9191309274176152e-06,-0.23130911640041507,2.6874260814202634e-12,1.9191309274176152e-06,8.773169953909097e-06
olmo_instruct,instruct,s,V,192,48,0.1302106053414841,0.19547573306003108,-0.06526512771854698,-0.5159057947247332,-3.1031012913691614,0.002797888677373686,-0.18163953461869387,6.066512409578456e-09,0.002797888677373686,0.006887110590458304
olmo_instruct,instruct,w,A,192,48,0.42923704424902054,0.3415594732736252,0.08767757097539536,0.29229013204637794,2.005318475187519,0.04772994119430425,-0.2563234636908369,0.00033597768198578214,0.04772994119430425,
olmo_instruct,instruct,r,A,192,48,0.4130137883590164,0.44342042616287175,-0.03040663780385533,-0.10467848762795548,-0.669792097078315,0.5049546917764891,-0.3058609779575985,2.0832694577683028e-05,0.5049546917764891,0.5997611534524042
olmo_instruct,instruct,s,A,192,48,0.4311318620960433,0.37051221436703763,0.06061964772900569,0.21271371243648712,1.4203960822714943,0.15899868273084264,-0.22231284470872037,0.0027214920440149643,0.15899868273084264,0.26778725512562973
olmo_instruct,instruct,w,D,192,48,0.46045823003462744,0.454991229707346,0.005467000327281424,0.01750556165264596,0.1197652385823032,0.9049203832485646,-0.3325277382693157,1.1363578820454309e-07,0.9049203832485646,
olmo_instruct,instruct,r,D,192,48,0.46801332185516803,0.6238899412876774,-0.15587661943250936,-0.46789997265928257,-3.078896615006569,0.002798205855287791,-0.5275316421698575,5.6557310409434476e-15,0.002798205855287791,
olmo_instruct,instruct,s,D,192,48,0.42725159126970097,0.45160203895254813,-0.024350447682847165,-0.0826755116304087,-0.562450625143041,0.575148979869719,-0.339045894076321,2.7495270607885942e-08,0.575148979869719,
qwen_base,base,w,V,192,48,0.24957070801069672,0.184259409657589,0.06531129835310773,0.3666073637970894,2.6285613363690943,0.009776891261863242,0.013022887429153585,0.7376727662819581,0.009776891261863242,
qwen_base,base,r,V,192,48,0.23440707513641187,0.1984985106694607,0.035908564466951176,0.1898203631886417,1.1638728598688848,0.24840010515867114,0.08405148718542499,0.04114962867287811,0.24840010515867114,0.3785144459560703
qwen_base,base,s,V,192,48,0.19368833350776637,0.22639093313755806,-0.03270259962979169,-0.2028020235126296,-1.2795675261827908,0.2046055839256996,0.14907460057161703,4.20761559980637e-05,0.2046055839256996,0.32736893428111935
qwen_base,base,w,A,192,48,0.2817307849852821,0.13091410669751938,0.1508166782877627,0.8804283245120407,6.772818949150079,2.8394450352668495e-10,0.07918886911145151,0.022110660895758742,2.8394450352668495e-10,
