model,alignment,task,dimension,n_triplets,n_direction_defined,mean_step_1_aligned,step_1_ci_low,step_1_ci_high,step_1_p_value,mean_step_2_aligned,step_2_ci_low,step_2_ci_high,step_2_p_value,dose_response_p_value,monotonicity_rate,midpoint_deviation,secondary_mean_slope,secondary_slope_p,mean_slope,slope_ci_low,slope_ci_high,p_value,mean_neutral,mean_moderate,mean_clinical,primary_p_value,p_fdr
gemma_base,base,w,V,48,48,-0.11522718697495415,-0.33307355346209655,0.09567291614243305,0.8457173429484707,0.026169385542288398,-0.19703393975400887,0.2639350114366444,0.41480029677331165,0.8457173429484707,0.041666666666666664,0.1727044418695934,-0.037679854651199114,0.24130219135968414,-0.037679854651199114,-0.10123302743368472,0.019428658396506527,0.8457173429484707,2.940063271925857,3.0750878591442508,2.864703562623459,0.8457173429484707,
gemma_base,base,r,V,48,48,-0.16079816365423613,-0.46275689534380343,0.11705034498556169,0.8584671240275854,0.10637238115746829,-0.17003258946159022,0.3809153777321743,0.2287141401978888,0.8584671240275854,0.10416666666666667,0.06479404286490269,-0.035135009259669815,0.5166923726054977,-0.035135009259669815,-0.14641528425108605,0.0633885124811545,0.8584671240275854,3.113724104749496,3.14338313835473,3.0434540862301573,0.8584671240275854,0.9997570178610937
gemma_base,base,s,V,48,48,-0.14420470181557357,-0.41733132372289694,0.12233823497251985,0.845483857616843,0.1583322369411874,-0.11887096466547006,0.4467972229247782,0.14389523230129808,0.845483857616843,0.0,0.19926065681263114,0.04561653269194633,0.22937521632109856,0.04561653269194633,-0.02615473944719553,0.11595195757590102,0.845483857616843,2.745201536482752,2.990078725987329,2.8364346018666446,0.845483857616843,0.9997570178610937
gemma_base,base,w,A,48,48,-0.009971982656401035,-0.22751021367434215,0.2757388561822106,0.5329437755354736,-0.06275651210795839,-0.31994975528368585,0.15170771564608987,0.6962713684510151,0.6962713684510151,0.10416666666666667,0.15504164311521287,-0.04459418667635073,0.13271805313808305,-0.04459418667635073,-0.10036045318114502,0.013680540076360699,0.6962713684510151,3.110327639521399,3.2207750959602603,3.021139266168697,0.6962713684510151,
gemma_base,base,r,A,48,48,-0.06547221322039404,-0.33440929057565544,0.26747546281898127,0.6659839542278445,0.008952619915147795,-0.30850684411327944,0.27077580893847736,0.4761638877393452,0.6659839542278445,0.08333333333333333,0.07501706402468152,-0.04119777254387203,0.37753183036945215,-0.04119777254387203,-0.1297657640747862,0.04789849382684541,0.6659839542278445,3.2638814128269584,3.297700704307768,3.1814858677392146,0.6659839542278445,0.9997570178610937
gemma_base,base,s,A,48,48,0.07492220916697258,-0.16891403253561618,0.40600453057058794,0.30013020293897225,-0.042619746258751985,-0.3681988015996558,0.21797381110372374,0.6164530430766955,0.6164530430766955,0.0625,0.17217352078293757,0.012474933504207536,0.6960187141587393,0.012474933504207536,-0.04754105360340822,0.0747009197281729,0.6164530430766955,3.0337878120315787,3.218436266318724,3.0587376790399943,0.6164530430766955,0.9997570178610937
gemma_base,base,w,D,48,48,0.04948335769638401,-0.19381573886023384,0.3708536966116301,0.3638003384094643,-0.06594261449986327,-0.4076826101161626,0.17313514602405233,0.6747358382634248,0.6747358382634248,0.08333333333333333,0.15262901741765955,-0.025045747562570806,0.3269256089667518,-0.025045747562570806,-0.07449450995493342,0.021767717993043837,0.6747358382634248,3.2283450526390163,3.3559283224941048,3.178253557513875,0.6747358382634248,
gemma_base,base,r,D,48,48,0.06515670374679376,-0.23511523486031047,0.43372780825082285,0.35249157148164306,-0.040448742865139616,-0.42871455883385484,0.22892482908968276,0.5961755140574374,0.5961755140574374,0.125,0.0701655261941424,-0.029099927605481562,0.4814685163213259,-0.029099927605481562,-0.11185317795253447,0.05221769535964562,0.5961755140574374,3.398214251669573,3.439279850258233,3.3400143964586095,0.5961755140574374,
gemma_base,base,s,D,48,48,0.09930703564920836,-0.17552306608609006,0.45144561289655855,0.2643256761440913,-0.03995325557904475,-0.39140842709787305,0.22820122271026125,0.5991963743256035,0.5991963743256035,0.041666666666666664,0.15299014379567966,0.03552497144045582,0.24277421240605263,0.03552497144045582,-0.023871146651234784,0.09647304150183299,0.5991963743256035,3.1771346506230222,3.3656497658591573,3.2481845935039337,0.5991963743256035,
gemma_instruct,instruct,w,V,48,48,0.4469932327158959,0.08275101802838372,0.854361782715072,0.015606456105968248,-0.1006191337551343,-0.4469297320555398,0.24122230789687982,0.722321798643948,0.722321798643948,0.2916666666666667,0.00013496472896316428,-0.1027738122530782,0.2374202821390126,-0.1027738122530782,-0.2707180944424852,0.06266822019854304,0.722321798643948,4.407656345123481,4.305017497599366,4.202108720617324,0.722321798643948,
