pair_id,prompt_rec_L10_mlp,gen_rec_L10_mlp,prompt_rec_L10_attn,gen_rec_L10_attn,prompt_rec_L10_resid,gen_rec_L10_resid,prompt_rec_L14_mlp,gen_rec_L14_mlp,prompt_rec_L14_attn,gen_rec_L14_attn,prompt_rec_L14_resid,gen_rec_L14_resid,prompt_rec_L15_mlp,gen_rec_L15_mlp,prompt_rec_L15_attn,gen_rec_L15_attn,prompt_rec_L15_resid,gen_rec_L15_resid,prompt_rec_L18_mlp,gen_rec_L18_mlp,prompt_rec_L18_attn,gen_rec_L18_attn,prompt_rec_L18_resid,gen_rec_L18_resid,prompt_rec_L20_mlp,gen_rec_L20_mlp,prompt_rec_L20_attn,gen_rec_L20_attn,prompt_rec_L20_resid,gen_rec_L20_resid,prompt_rec_L24_mlp,gen_rec_L24_mlp,prompt_rec_L24_attn,gen_rec_L24_attn,prompt_rec_L24_resid,gen_rec_L24_resid,l15_mlp_recovery,l24_resid_recovery,delta_g
N-admiration-d1-c3,-0.13945262046333173,-9.488336108038009,-0.06567833123940492,-2.763130172025874,-0.7151075695666975,-9.731654365476693,3.21519172335758,0.40207070656653743,2.489708030064963,1.4824105001617238,0.7376000900953583,-6.403434088781101,-2.872289683298157,-3.184697270697523,1.3535409083542005,1.2125114671052595,3.9767643006145104,-3.1152813274828883,-1.6226507779592003,19.002414283580716,3.3909371577321767,1.7925976283742595,3.460008645127055,53.217897289100605,-0.7301996100022023,8.081109545870369,1.5728515029340695,26.78618158179559,5.171356048017883,64.44977708504803,-1.0193758231730854,14.602787467290613,-1.1584804884396949,4.284353760254611,-0.991253468190112,70.84916463400445,-3.184697270697523,70.84916463400445,74.03386190470198
N-amazement-d1-c3,-4.109793956009189,3.278884354898892,-1.2302723735237775,1.0630939906391745,-1.0451268838118866,2.7003622448516396,2.2724657540206805,2.1533806380826803,0.3877080180142545,5.005835316840567,0.5364850574400282,6.526677292836114,0.6661576942666336,1.8678510388507874,1.15056534088257,13.311822180275746,0.5056522030528976,15.518036286408176,-3.520712322049735,6.0096437665130065,-2.7785337542588495,0.12323490162177153,-6.852042676769998,49.727331250708396,1.0608885142793345,9.612802318823421,-2.426865880162321,-5.1330963643670735,-0.4792616527300675,60.284519688470404,1.4157663320034541,24.34871609556215,-0.43310974074237674,-1.1176862858838454,0.00634960503277382,57.364893523802394,1.8678510388507874,57.364893523802394,55.497042484951606
N-amazement-d2-c3,2.3126451634259304,-3.454230017551563,-4.13222190308653,-2.4549443205911015,-4.2202132070193965,-0.2988761110539473,0.982161247169755,-4.661176487660024,-1.4026212722947795,-2.3685194924981445,-1.8057781840370657,3.4912289579110523,-4.697309739843303,-12.468918704509523,-3.7797989674813737,12.259800871249338,-2.6413318026119015,17.444752109475836,1.1392064923090417,6.815051519377102,3.6804917397738723,-8.09970974923029,0.2317779287345445,43.14055841956061,-0.40718209806684946,19.944738004455644,-1.7948796366824782,-7.368737931283542,2.94508012226935,48.49982496524316,0.39791098129106084,19.366862488111046,0.8886624353157346,-0.08144859664995785,-0.041226271457595054,55.88718350812876,-12.468918704509523,55.88718350812876,68.35610221263828
N-amazement-d6-c2,-5.747830787208508,-7.164411139659932,2.2698186172220525,-10.048552821486844,7.685126374615658,1.2408164612434547,4.452004091529826,-16.908133828029136,6.246615897431063,-5.086499690798196,3.7890595680860173,-9.91931818156797,-1.7610420354140732,-4.333744406843287,-1.999582725329252,-9.68261401883128,3.2368759133679537,-6.416404094782302,6.214317503174838,-21.376417381271363,5.468584226649542,-1.6501110909091787,6.779442742093256,-15.329114661989053,3.8570095544549154,0.5865179591785674,5.644543348716791,-0.1432835895406548,1.9624784698344167,1.5234318594553597,2.160673254971157,1.6132158234006266,-0.6048669199597123,-4.963199687094755,1.2824696622103504,-4.7421855579866445,-4.333744406843287,-4.7421855579866445,-0.4084411511433572
N-grief-d1-c4,-2.2080246671910997,-5.224020959308051,2.0636972420359334,6.3421178926977735,-9.291882247124938,-5.217957508578208,2.1204181681668155,-5.281018075479893,-6.695224605177885,1.4826504279808805,-3.768953775908268,-8.828517078566911,-1.7576690872489475,-1.652201226725114,-6.871869062016556,-11.454474629366974,-5.951957214502301,0.4264031711256222,-5.423927227137493,14.117463917623486,-1.6416863450023689,-39.356283649077994,-3.443471323456304,44.224800074251846,-3.316022273627528,-53.86940538450893,-1.5475191149320722,9.99784437557718,-1.7731142520588161,49.97878885945616,-2.5772656256988657,43.71806485520538,-3.0822575060051927,5.636303485118921,-5.293611566725809,53.48993347607567,-1.652201226725114,53.48993347607567,55.14213470280078
N-grief-d3-c3,4.766054057579694,-3.243198810105108,2.9704308191556783,-4.2029863897090625,-4.374885874387302,4.082208949453092,-0.20668723382093468,2.517679421926,-3.367571399858149,-1.052165897969748,-0.4117240494319496,-0.9611344579320003,0.8849406354332845,3.1198488937351887,-3.6024294094423315,-1.485533778093795,4.082719220948928,-9.946755608178615,-2.625388175648835,17.837757555588716,-1.7539604748880722,-30.98328757469526,-7.226705448065673,49.313064158456434,-4.599711829867981,6.355400641176557,0.14734811682214355,10.60037076370407,-2.0679344419821444,49.222051175127646,-8.394903663064479,37.06342086913791,2.3856788247509475,2.6794737039215533,-6.6934905007802525,49.62562370807099,3.1198488937351887,49.62562370807099,46.5057748143358
N-grief-d5-c3,,10.534897323263126,,-6.902942610210494,,-50.383102803098055,,-3.123555441838821,,-42.07009050243593,,-43.221488434165245,,1.8883480196607572,,-33.97495086577638,,-37.99354491041576,,0.9887315384371376,,-27.883424431511507,,11.718663330842539,,32.76312954554834,,-11.954219971672963,,29.7711904841793,,-21.70862480555118,,-0.6600102214769699,,21.46571995653317,1.8883480196607572,21.46571995653317,19.577371936872414
N-loathing-d1-c3,2.8891828831991706,1.7983635338568282,-1.1779943350015198,0.7921211841159792,-0.6683141341007781,2.1623133967725194,0.7044962674802591,-1.048454688978362,2.1178026784675175,0.24934301008755488,-0.15421582501307096,3.522106042956641,0.4673015510671008,2.615090487956473,0.3220271539081554,12.747391702922394,0.17558733116389558,16.573232848736584,0.5757738608024532,18.93666619709029,0.5669253360233273,-6.872118360897472,1.0794236506196264,59.62762362266737,-0.24164516600400088,14.511957737294578,1.2090300914211038,-1.4404451356266224,0.42612747436481246,70.58719499439434,-0.615871453098582,17.71047185278791,0.04014569599624096,-0.4259897768984944,-1.3019710055198974,73.80931446408982,2.615090487956473,73.80931446408982,71.19422397613334
N-loathing-d2-c1,-1.7970285883819992,-4.037085957059072,-0.21967212536542213,-2.543409964783927,-3.2920531280285825,-3.3733557184682184,1.3519350817169595,-2.9775841859289276,0.18266503317942995,-3.361603830582216,-2.282403033729019,3.7228480380086637,4.104685200878977,-6.042544062625899,-2.2276776026309397,6.40741086851161,0.1314199275645911,11.87784041269735,-1.1048006572961455,3.6653650058069975,-1.9874986354342372,-14.336662075782058,-0.9702765883326858,50.01758982715876,1.006207982798013,16.63629845932687,-1.222196593199798,-1.773376215693867,-0.7178115383297268,58.304252100123676,1.3104578134019218,30.383970721290265,0.22249623376126015,0.5989044615318351,-0.27777504085770843,56.84757733190104,-6.042544062625899,56.84757733190104,62.89012139452694
N-rage-d1-c4,-0.0798993137253401,7.07291545263401,2.3970944302685315,4.114574405423388,-3.7787423410923227,6.840898879128399,-1.281339838101081,-0.25505581446843006,3.074790955230966,1.693522562384575,3.3147235656976415,-2.6729079905340125,4.5581979622126845,1.8329560604676165,4.61841687881207,2.506289777121673,-1.2528652818106778,8.202767679503753,0.6084170100510433,17.218680738840064,1.8214800730969816,-7.398155417043695,-0.07770254883281424,48.3762917996754,0.6907668090007202,6.152256739557139,-0.965910805748682,1.1577656693515848,3.2787252024924274,58.20656848698125,-0.18928975199790088,27.29542598344794,-0.3293956467339543,2.5160069657912287,0.02386002127569009,65.20025813946069,1.8329560604676165,65.20025813946069,63.36730207899307
